Body_Temperature,Heart_Rate,SPO2,Driver_State
95.9,64,74,9
102.56,64,70,9
101.48,64,74,9
101.55,64,74,9
104.0,64,79,9
96.61999999999999,65,98,1
96.77,65,98,1
96.26,65,97,2
96.46,65,97,2
95.18,65,91,5
95.28,65,91,5
95.32,65,91,5
102.2,65,89,5
103.0,65,89,5
101.66,65,96,5
101.7,65,96,5
98.0,65,86,6
98.08,65,86,6
99.5,65,85,6
98.78,65,91,6
99.0,65,91,6
99.5,65,94,6
98.24,65,78,7
98.33,65,78,7
95.53999999999999,65,83,7
98.96000000000001,65,81,7
98.9,65,82,7
98.96000000000001,65,82,7
103.28,65,84,7
97.5,65,75,8
97.7,65,75,8
98.0,65,75,8
102.02,65,78,8
102.1,65,78,8
103.64,65,77,8
103.7,65,77,8
103.8,65,77,8
96.88,65,60,9
96.98,65,60,9
97.01,65,60,9
97.16,65,61,9
97.2,65,61,9
102.74,65,61,9
101.3,65,64,9
101.45,65,64,9
100.22,65,67,9
101.84,65,66,9
100.58000000000001,65,69,9
103.64,65,67,9
103.76,65,67,9
101.48,65,74,9
96.61999999999999,66,98,1
98.0,66,98,1
98.4,66,98,1
95.53999999999999,66,92,5
95.6,66,92,5
102.2,66,89,5
100.9,66,92,5
100.94,66,92,5
100.99,66,92,5
101.66,66,96,5
102.2,66,99,5
99.32,66,83,6
99.4,66,83,6
99.32,66,84,6
99.7,66,84,6
98.06,66,86,6
99.68,66,86,6
98.78,66,91,6
102.5,66,99,6
98.24,66,78,7
100.2,66,78,7
100.22,66,78,7
98.96000000000001,66,82,7
100.94,66,82,7
101.0,66,82,7
101.3,66,84,7
101.35,66,84,7
101.84,66,98,7
101.9,66,98,7
102.02,66,78,8
97.16,66,61,9
99.14,66,62,9
99.24,66,62,9
101.3,66,64,9
101.0,66,66,9
101.84,66,66,9
103.64,66,67,9
98.42,67,98,1
96.26,67,97,2
97.8,67,94,3
97.9,67,94,3
98.0,67,94,3
98.24,67,88,4
98.32,67,88,4
95.53999999999999,67,92,5
99.32,67,83,6
99.5,67,84,6
97.88000000000001,67,86,6
97.9,67,86,6
100.4,67,90,6
100.7,67,90,6
100.22,67,78,7
100.94,67,82,7
101.3,67,84,7
101.84,67,98,7
102.2,67,99,7
101.11999999999999,67,82,8
101.2,67,82,8
101.3,67,82,8
98.9,67,61,9
98.96000000000001,67,61,9
100.76,67,61,9
100.8,67,61,9
97.88000000000001,67,64,9
97.9,67,64,9
99.68,67,64,9
103.4,67,66,9
103.46000000000001,67,66,9
103.82,67,67,9
103.9,67,67,9
99.0,67,73,9
99.32,67,73,9
103.0,67,74,9
103.1,67,74,9
101.84,67,77,9
101.99,67,77,9
98.0,68,98,1
98.24,68,98,1
98.5,68,98,1
98.24,68,88,4
96.0,68,86,6
96.08000000000001,68,86,6
96.1,68,86,6
97.88000000000001,68,86,6
96.0,68,88,6
96.32,68,88,6
96.44,68,88,6
100.4,68,90,6
97.88000000000001,68,95,6
97.9,68,95,6
101.11999999999999,68,93,6
101.3,68,93,6
96.11,68,81,7
96.55,68,81,7
97.12,68,81,7
98.7,68,81,7
98.78,68,81,7
100.76,68,81,7
100.88,68,81,7
102.38000000000001,68,80,7
102.48,68,80,7
101.84,68,86,7
101.99,68,86,7
101.4,68,96,7
101.48,68,96,7
99.86,68,76,8
99.14,68,62,9
100.76,68,61,9
97.88000000000001,68,64,9
96.6,68,69,9
96.61999999999999,68,69,9
98.6,68,68,9
98.7,68,68,9
98.9,68,68,9
103.46000000000001,68,66,9
103.82,68,67,9
99.32,68,73,9
102.9,68,72,9
102.91999999999999,68,72,9
103.1,68,74,9
101.84,68,77,9
97.88000000000001,69,96,1
97.9,69,96,1
98.0,69,96,1
101.48,69,95,5
101.5,69,95,5
97.7,69,84,6
97.9,69,84,6
97.88000000000001,69,95,6
101.11999999999999,69,93,6
97.3,69,72,7
97.34,69,72,7
95.0,69,80,7
96.0,69,80,7
98.78,69,81,7
100.76,69,80,7
100.8,69,80,7
100.76,69,81,7
102.38000000000001,69,80,7
101.84,69,86,7
101.48,69,96,7
99.86,69,76,8
99.9,69,76,8
102.56,69,80,8
102.8,69,80,8
103.5,69,80,8
97.32,69,62,9
97.33,69,62,9
97.42,69,62,9
95.72,69,64,9
95.75,69,64,9
96.26,69,66,9
96.3,69,66,9
98.0,69,66,9
98.06,69,66,9
101.3,69,63,9
101.4,69,63,9
96.61999999999999,69,69,9
102.2,69,69,9
104.0,69,68,9
101.0,69,73,9
101.11999999999999,69,73,9
102.91999999999999,69,72,9
101.58,70,95,5
97.7,70,84,6
97.34,70,72,7
95.0,70,80,7
95.33,70,82,7
95.53999999999999,70,82,7
100.76,70,80,7
99.0,70,82,7
99.14,70,82,7
102.02,70,77,8
102.32,70,77,8
95.8,70,62,9
95.72,70,64,9
96.26,70,66,9
98.06,70,66,9
101.3,70,63,9
99.68,70,65,9
99.86,70,66,9
99.96,70,66,9
100.22,70,68,9
100.44,70,68,9
100.59,70,68,9
98.96000000000001,70,71,9
99.0,70,71,9
102.2,70,69,9
102.25,70,69,9
100.76,70,71,9
104.0,70,68,9
102.56,70,71,9
101.11999999999999,70,73,9
96.3,71,97,2
96.44,71,97,2
96.55,71,97,2
102.38000000000001,71,89,5
102.44,71,89,5
100.3,71,100,5
100.5,71,100,5
99.68,71,85,6
99.7,71,85,6
100.58000000000001,71,91,6
100.66,71,91,6
99.32,71,94,6
99.55,71,94,6
99.14,71,71,7
99.2,71,71,7
95.53999999999999,71,82,7
99.14,71,82,7
99.86,71,87,7
99.9,71,87,7
102.02,71,77,8
95.0,71,89,8
95.5,71,89,8
96.0,71,89,8
95.53999999999999,71,62,9
95.53999999999999,71,63,9
95.6,71,63,9
99.68,71,65,9
99.7,71,65,9
99.86,71,66,9
100.0,71,67,9
100.03999999999999,71,67,9
99.14,71,72,9
99.2,71,72,9
100.76,71,71,9
102.56,71,71,9
102.59,71,71,9
101.66,71,75,9
101.77,71,75,9
95.0,72,100,1
96.6,72,99,1
96.8,72,99,1
96.89,72,99,1
98.6,72,89,4
98.7,72,89,4
98.9,72,89,4
96.08000000000001,72,96,3
96.12,72,96,3
96.25,72,96,3
101.84,72,97,4
101.9,72,97,4
102.38000000000001,72,89,5
100.4,72,100,5
99.68,72,85,6
100.62,72,90,6
100.77,72,90,6
100.58000000000001,72,91,6
99.32,72,94,6
97.0,72,73,7
99.14,72,71,7
97.34,72,73,7
95.72,72,83,7
98.78,72,80,7
98.88,72,80,7
100.58000000000001,72,80,7
100.6,72,80,7
99.86,72,87,7
103.64,72,86,7
103.66,72,86,7
102.2,72,78,8
102.5,72,78,8
102.9,72,78,8
95.5,72,62,9
95.53999999999999,72,63,9
102.38000000000001,72,60,9
101.11999999999999,72,62,9
101.32,72,62,9
101.42,72,62,9
100.03999999999999,72,67,9
98.96000000000001,72,71,9
100.58000000000001,72,70,9
99.14,72,72,9
100.76,72,71,9
104.0,72,68,9
99.45,72,74,9
99.5,72,74,9
99.55,72,74,9
101.66,72,75,9
98.4,73,97,1
95.5,73,100,1
96.26,73,96,3
96.3,73,96,3
101.84,73,97,4
96.61999999999999,73,89,5
96.77,73,89,5
101.66,73,97,5
101.77,73,97,5
97.0,73,83,6
97.34,73,83,6
100.58000000000001,73,90,6
99.68,73,95,6
99.8,73,95,6
97.34,73,73,7
99.5,73,73,7
99.75,73,73,7
99.85,73,73,7
100.22,73,77,7
100.3,73,77,7
98.41999999999999,73,79,7
98.55,73,79,7
95.72,73,83,7
95.75,73,83,7
98.78,73,80,7
100.58000000000001,73,80,7
103.64,73,86,7
99.7,73,75,8
99.88,73,75,8
103.7,73,77,8
103.82,73,77,8
103.9,73,77,8
102.02,73,99,8
102.32,73,99,8
102.38000000000001,73,60,9
102.4,73,60,9
97.88000000000001,73,65,9
97.9,73,65,9
95.0,73,70,9
101.4,73,64,9
101.48,73,64,9
100.03999999999999,73,66,9
100.1,73,66,9
100.3,73,68,9
100.44,73,68,9
100.56,73,68,9
98.06,74,97,1
95.3,74,100,1
98.32,74,97,1
99.45,74,96,1
99.86,74,96,1
99.9,74,96,1
98.0,74,99,1
98.6,74,99,1
98.9,74,99,1
96.4,74,96,3
96.61999999999999,74,89,5
102.38000000000001,74,90,5
102.45,74,90,5
102.91999999999999,74,93,5
101.66,74,97,5
97.0,74,82,6
97.16,74,82,6
97.4,74,82,6
97.4,74,83,6
97.7,74,94,6
97.8,74,94,6
99.5,74,95,6
99.68,74,95,6
99.7,74,95,6
95.0,74,79,7
98.06,74,76,7
98.16,74,76,7
95.5,74,79,7
100.22,74,77,7
98.41999999999999,74,79,7
100.5,74,79,7
100.58000000000001,74,79,7
96.33,74,77,8
96.44,74,77,8
99.68,74,75,8
102.02,74,99,8
97.34,74,61,9
97.4,74,61,9
99.0,74,62,9
99.44,74,62,9
99.54,74,62,9
97.88000000000001,74,65,9
100.9,74,62,9
100.94,74,62,9
101.0,74,62,9
95.0,74,70,9
101.48,74,64,9
96.0,74,70,9
100.03999999999999,74,66,9
102.02,74,67,9
102.22,74,67,9
96.61999999999999,75,99,1
96.72,75,99,1
96.33,75,100,1
96.59,75,100,1
97.23,75,100,1
95.18,75,90,5
102.38000000000001,75,90,5
102.91999999999999,75,93,5
102.95,75,93,5
97.7,75,94,6
99.5,75,95,6
95.0,75,79,7
98.06,75,76,7
98.6,75,79,7
98.7,75,79,7
100.58000000000001,75,79,7
102.56,75,81,7
102.75,75,81,7
100.22,75,89,7
100.3,75,89,7
96.44,75,77,8
97.34,75,61,9
96.0,75,66,9
96.08000000000001,75,66,9
101.0,75,63,9
101.11999999999999,75,63,9
98.6,75,69,9
98.75,75,69,9
102.02,75,67,9
102.74,75,71,9
102.89,75,71,9
101.3,75,74,9
101.35,75,74,9
97.5,76,100,0
98.2,76,100,0
98.6,76,100,0
96.61999999999999,76,99,1
96.0,76,100,1
96.75,76,100,1
97.0,76,100,1
95.58,76,90,5
95.48,76,91,5
100.0,76,99,5
100.5,76,99,5
98.0,76,90,6
98.6,76,90,6
96.8,76,80,7
96.95,76,80,7
98.6,76,79,7
95.9,76,84,7
96.0,76,84,7
102.56,76,81,7
103.1,76,84,7
103.5,76,84,7
101.66,76,86,7
101.77,76,86,7
100.22,76,89,7
103.8,76,87,7
103.82,76,87,7
95.32,76,60,9
95.65,76,61,9
95.25,76,62,9
95.72,76,63,9
95.83,76,63,9
99.1,76,61,9
99.14,76,61,9
95.9,76,65,9
96.08000000000001,76,66,9
101.11999999999999,76,63,9
101.66,76,65,9
101.77,76,65,9
103.28,76,64,9
103.3,76,64,9
98.6,76,69,9
101.66,76,66,9
101.7,76,66,9
98.78,76,70,9
101.84,76,67,9
101.99,76,67,9
100.76,76,70,9
103.79,76,68,9
103.82,76,68,9
103.99,76,68,9
102.74,76,71,9
101.3,76,74,9
98.66,77,90,3
95.72,77,93,4
95.88,77,93,4
100.4,77,99,4
101.87,77,95,5
103.28,77,95,5
103.82,77,98,5
103.9,77,98,5
98.6,77,90,6
97.7,77,95,6
97.79,77,95,6
97.75,77,95,6
96.8,77,80,7
95.9,77,84,7
103.1,77,84,7
101.66,77,86,7
103.82,77,87,7
104.0,77,99,8
95.0,77,60,9
96.0,77,60,9
95.72,77,63,9
99.14,77,61,9
97.52,77,63,9
97.62,77,63,9
95.9,77,65,9
95.95,77,65,9
95.29,77,70,9
95.36,77,71,9
95.38,77,71,9
95.46,77,71,9
95.6,77,71,9
101.66,77,65,9
103.28,77,64,9
101.66,77,66,9
98.6,77,70,9
98.78,77,70,9
101.84,77,67,9
100.58000000000001,77,70,9
100.6,77,70,9
100.76,77,70,9
100.8,77,70,9
103.46000000000001,77,75,9
103.6,77,75,9
98.78,78,90,3
97.16,78,92,2
97.2,78,92,2
95.72,78,93,4
103.28,78,95,5
103.82,78,98,5
97.38,78,85,6
97.98,78,85,6
97.1,78,71,7
97.16,78,71,7
98.6,78,80,7
98.7,78,80,7
96.0,78,76,8
96.38,78,76,8
96.8,78,79,8
96.9,78,79,8
96.26,78,86,8
96.3,78,86,8
98.96000000000001,78,61,9
97.52,78,63,9
96.0,78,65,9
96.08000000000001,78,65,9
96.22,78,68,9
96.44,78,68,9
96.54,78,68,9
95.56,78,69,9
95.72,78,74,9
95.82,78,74,9
101.48,78,75,9
103.46000000000001,78,75,9
96.0,79,99,1
99.86,79,97,1
98.8,79,90,3
97.3,79,92,2
95.3,79,98,2
95.4,79,98,2
95.6,79,98,2
95.5,79,93,4
95.53999999999999,79,93,4
95.72,79,94,4
95.8,79,94,4
97.88000000000001,79,85,6
103.46000000000001,79,86,6
103.5,79,86,6
97.16,79,71,7
98.06,79,77,7
98.16,79,77,7
98.6,79,80,7
103.1,79,83,7
103.2,79,83,7
97.0,79,75,8
96.08000000000001,79,76,8
97.35,79,75,8
97.88000000000001,79,75,8
96.8,79,79,8
96.26,79,86,8
101.0,79,83,8
101.11999999999999,79,83,8
101.3,79,83,8
96.08000000000001,79,65,9
96.44,79,67,9
98.24,79,67,9
98.3,79,67,9
96.8,79,69,9
96.9,79,69,9
95.72,79,74,9
101.48,79,75,9
101.58,79,75,9
103.28,79,75,9
103.33,79,75,9
98.06,80,96,1
98.2,80,96,1
99.12,80,96,1
99.2,80,96,1
99.7,80,96,1
96.9,80,99,1
99.86,80,97,1
98.41999999999999,80,89,4
98.5,80,89,4
98.6,80,89,4
95.53999999999999,80,93,4
95.72,80,94,4
96.8,80,90,5
97.0,80,90,5
95.36,80,92,5
95.44,80,92,5
102.2,80,88,5
100.76,80,92,5
100.8,80,92,5
103.46000000000001,80,96,5
103.56,80,96,5
103.28,80,85,6
103.3,80,85,6
103.46000000000001,80,86,6
99.68,80,74,7
99.68,81,74,7
99.89,80,74,7
98.06,80,77,7
95.36,80,81,7
95.56,80,81,7
95.7,80,84,7
95.72,80,84,7
100.9,80,81,7
100.94,80,81,7
102.74,80,82,7
101.48,80,84,7
103.1,80,83,7
101.66,80,85,7
101.7,80,85,7
96.26,80,76,8
96.36,80,76,8
104.0,80,99,8
97.3,80,62,9
97.7,80,63,9
97.88,80,63,9
99.5,80,63,9
99.65,80,63,9
96.32,80,67,9
96.44,80,67,9
98.24,80,66,9
98.24,80,67,9
98.3,80,67,9
98.41999999999999,80,67,9
96.8,80,69,9
96.77,80,71,9
96.98,80,71,9
96.99,80,71,9
102.2,80,68,9
102.5,80,68,9
102.9,80,68,9
102.74,80,72,9
102.8,80,72,9
103.28,80,75,9
98.1,81,96,1
96.6,81,99,1
99.9,81,97,1
96.8,81,90,5
95.36,81,92,5
102.2,81,88,5
102.3,81,88,5
100.76,81,92,5
103.46000000000001,81,96,5
102.4,81,100,5
103.28,81,85,6
97.0,81,93,6
97.34,81,93,6
98.9,81,70,7
98.96000000000001,81,70,7
95.36,81,81,7
95.72,81,84,7
100.94,81,81,7
102.74,81,82,7
102.84,81,82,7
101.48,81,84,7
101.66,81,85,7
102.38000000000001,81,100,7
96.26,81,76,8
97.15,81,60,9
97.16,81,60,9
97.75,81,62,9
97.7,81,63,9
102.32,81,60,9
99.5,81,63,9
102.56,81,60,9
102.77,81,60,9
98.0,81,66,9
98.24,81,66,9
98.41999999999999,81,67,9
95.36,81,72,9
100.9,81,72,9
100.94,81,72,9
102.74,81,72,9
101.66,81,76,9
101.7,81,76,9
98.9,82,96,3
98.24,82,87,6
99.86,82,86,6
99.9,82,86,6
97.34,82,93,6
98.0,82,96,6
98.89,82,96,6
101.3,82,94,6
101.5,82,94,6
98.96000000000001,82,70,7
96.44,82,78,7
96.5,82,78,7
98.24,82,77,7
98.3,82,77,7
101.5,82,84,7
102.38000000000001,82,100,7
99.0,82,75,8
99.86,82,75,8
99.9,82,75,8
97.16,82,60,9
97.45,82,62,9
100.76,82,60,9
100.8,82,60,9
100.9,82,60,9
102.56,82,61,9
102.66,82,61,9
102.9,82,63,9
102.91999999999999,82,63,9
95.3,82,72,9
95.36,82,72,9
102.38000000000001,82,70,9
102.4,82,70,9
100.94,82,72,9
101.66,82,76,9
104.0,82,78,9
98.0,83,97,1
98.24,83,97,1
98.5,83,97,1
100.22,83,98,4
96.66,83,91,5
96.67,83,91,5
97.45,83,91,5
100.33,83,98,5
102.05,83,98,5
102.12,83,98,5
98.0,83,87,6
98.24,83,87,6
99.86,83,86,6
97.16,83,91,6
97.3,83,91,6
97.4,83,91,6
101.3,83,94,6
97.52,83,72,7
97.88000000000001,83,76,7
97.89,83,76,7
96.44,83,78,7
98.24,83,77,7
102.02,83,98,7
101.0,83,83,8
101.3,83,83,8
98.06,83,65,9
98.16,83,65,9
102.56,83,61,9
99.86,83,65,9
99.87,83,65,9
102.91999999999999,83,63,9
102.38000000000001,83,70,9
101.3,83,73,9
101.5,83,73,9
104.0,83,78,9
100.22,84,98,5
97.0,84,82,6
97.34,84,82,6
97.5,84,82,6
97.58,84,73,7
97.52,84,74,7
97.6,84,74,7
97.88000000000001,84,76,7
97.16,84,81,7
97.2,84,81,7
96.0,84,75,8
96.08000000000001,84,75,8
96.38,84,75,8
101.3,84,83,8
98.06,84,65,9
95.62,84,69,9
99.86,84,65,9
95.32,84,70,9
101.3,84,73,9
100.0,85,97,4
98.06,85,87,5
100.03999999999999,85,97,5
97.52,85,83,6
97.6,85,83,6
96.0,85,87,6
96.26,85,87,6
96.3,85,87,6
99.14,85,92,6
99.2,85,92,6
97.52,85,73,7
97.52,85,74,7
100.0,85,76,7
100.03999999999999,85,76,7
97.16,85,81,7
100.22,85,77,8
95.88,85,70,9
103.1,85,63,9
103.25,85,63,9
101.48,85,65,9
101.58,85,65,9
97.1,86,95,3
97.3,86,95,3
97.4,86,95,3
100.03999999999999,86,98,4
100.4,86,98,4
100.6,86,98,4
98.06,86,87,5
98.16,86,87,5
100.03999999999999,86,97,5
97.52,86,83,6
100.4,86,89,6
100.5,86,89,6
99.14,86,92,6
99.14,86,93,6
100.03999999999999,86,76,7
95.36,86,82,7
95.4,86,82,7
96.8,86,89,8
96.9,86,89,8
95.3,86,61,9
95.36,86,61,9
97.7,86,64,9
97.89,86,64,9
103.1,86,63,9
101.48,86,65,9
103.28,86,65,9
104.0,86,69,9
96.08000000000001,87,95,3
96.2,87,95,3
96.35,87,95,3
98.0,87,88,4
98.41999999999999,87,88,4
100.66,87,100,5
100.7,87,100,5
100.4,87,89,6
99.14,87,93,6
99.2,87,93,6
95.36,87,82,7
96.8,87,89,8
95.36,87,61,9
97.7,87,64,9
103.28,87,64,9
103.28,87,65,9
104.0,87,69,9
98.41999999999999,88,88,4
95.9,88,95,4
96.0,88,95,4
100.58000000000001,88,100,4
101.0,88,85,7
101.48,88,85,7
100.03999999999999,88,77,8
102.0,88,100,8
102.2,88,100,8
102.7,88,100,8
95.53999999999999,88,72,9
101.55,88,72,9
98.32,89,99,1
98.42,89,99,1
98.66,89,99,1
98.77,89,100,1
98.9,89,100,1
99.01,89,100,1
95.8,89,94,3
96.0,89,94,3
97.0,89,94,3
95.9,89,95,4
95.36,89,91,5
95.44,89,91,5
95.56,89,91,5
98.33,89,78,7
101.48,89,85,7
102.9,89,62,9
95.9,89,69,9
102.91999999999999,89,62,9
103.0,89,62,9
96.0,89,69,9
95.53999999999999,89,72,9
101.35,89,69,9
99.32,90,84,6
102.64,90,87,6
103.55,90,87,6
98.22,90,78,7
100.55,90,77,8
102.5,90,98,8
100.5,90,63,9
96.8,90,70,9
95.53999999999999,90,72,9
103.46000000000001,90,65,9
103.89,90,65,9
102.38000000000001,90,69,9
101.0,90,72,9
96.0,91,98,1
96.4,91,98,1
96.55,91,98,1
100.9,91,93,5
100.94,91,93,5
99.32,91,84,6
99.55,91,84,6
103.89,91,87,6
98.9,91,78,7
102.0,91,98,8
95.33,91,62,9
95.36,91,62,9
95.45,91,62,9
99.5,91,64,9
96.8,91,70,9
96.9,91,70,9
103.46000000000001,91,65,9
100.9,91,71,9
100.94,91,71,9
101.32,91,72,9
100.94,92,93,5
97.52,92,93,6
97.62,92,93,6
103.1,92,98,8
99.1,92,65,9
100.44,92,69,9
100.94,92,71,9
102.0,93,87,5
102.02,93,87,5
97.52,93,93,6
96.01,93,80,7
96.22,93,80,7
97.22,93,80,7
101.2,93,99,7
102.3,93,79,8
102.38000000000001,93,79,8
102.4,93,79,8
101.0,93,99,8
101.5,93,99,8
100.58000000000001,93,60,9
100.6,93,60,9
100.7,93,60,9
103.1,93,64,9
103.5,93,64,9
98.55,93,69,9
98.68,93,69,9
98.78,93,69,9
103.1,93,73,9
103.5,93,73,9
102.32,94,87,5
98.96000000000001,94,92,6
100.76,94,91,6
100.78,94,91,6
100.99,94,91,6
103.1,94,64,9
100.4,94,69,9
100.7,94,69,9
101.1,94,69,9
103.1,94,73,9
98.96000000000001,95,92,6
99.0,95,92,6
95.38,95,60,9
95.0,95,64,9
95.9,95,64,9
103.0,95,94,9
99.88,96,95,7
100.0,96,95,7
100.8,96,95,7
95.28,96,60,9
95.9,96,63,9
103.1,96,94,9
103.2,96,94,9
95.18,97,60,9
98.1,98,95,7
98.6,98,95,7
98.9,98,95,7
97.7,102,96,9
98.6,102,96,9
99.0,102,96,9
