area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,price_per_sqft
super built-up  area,17-oct,ramagondanahalli,2 bhk,viistla,1151.0,2.0,2.0,48.77,2.0,4237.185056472633
super built-up  area,ready to move,electronic city,3 bhk,kbityo,1025.0,2.0,1.0,47.0,3.0,4585.365853658536
super built-up  area,19-dec,yelahanka,4 bhk,ledorsa,2475.0,4.0,0.0,186.0,4.0,7515.151515151515
super built-up  area,ready to move,bisuvanahalli,3 bhk,prityel,1075.0,2.0,1.0,35.0,3.0,3255.813953488372
super built-up  area,ready to move,hebbal,3 bhk,mahosya,1760.0,2.0,2.0,123.0,3.0,6988.636363636364
super built-up  area,ready to move,raja rajeshwari nagar,3 bhk,grrvagr,1693.0,3.0,3.0,57.39,3.0,3389.84051978736
built-up  area,ready to move,kasturi nagar,3 bhk,kantsce,1925.0,3.0,2.0,125.0,3.0,6493.506493506494
super built-up  area,21-dec,kanakpura road,2 bhk,prarepa,700.0,2.0,1.0,36.0,2.0,5142.857142857143
super built-up  area,ready to move,electronics city phase 1,2 bhk,no society,1070.0,2.0,1.0,45.5,2.0,4252.336448598131
super built-up  area,ready to move,kundalahalli,3 bhk,dieldli,1724.0,3.0,2.0,125.0,3.0,7250.580046403712
super built-up  area,ready to move,chikkalasandra,3 bhk,no society,1290.0,2.0,2.0,56.12,3.0,4350.387596899225
built-up  area,ready to move,uttarahalli,2 bhk,no society,1143.0,2.0,2.0,45.0,2.0,3937.0078740157483
built-up  area,ready to move,murugeshpalya,2 bhk,gentson,1296.0,2.0,2.0,81.0,2.0,6250.0
super built-up  area,19-dec,sarjapur  road,3 bhk,soini t,1254.0,3.0,2.0,38.0,3.0,3030.3030303030305
super built-up  area,ready to move,ganga nagar,1 bhk,ceove g,600.0,1.0,0.0,38.0,1.0,6333.333333333333
plot  area,ready to move,yelahanka,1 bedroom,no society,660.0,1.0,0.0,48.0,1.0,7272.727272727273
super built-up  area,19-sep,kanakpura road,2 bhk,soazak,1330.74,2.0,2.0,91.79,2.0,6897.665960292769
super built-up  area,ready to move,doddathoguru,2 bhk,lancyre,970.0,2.0,0.0,33.0,2.0,3402.061855670103
super built-up  area,20-sep,whitefield,2 bhk,goted u,1459.0,2.0,1.0,94.82,2.0,6498.971898560658
plot  area,ready to move,kr puram,2 bedroom,no society,800.0,1.0,1.0,130.0,2.0,16250.0
built-up  area,ready to move,himagiri meadows,2 bhk,no society,869.0,2.0,1.0,36.0,2.0,4142.692750287687
super built-up  area,ready to move,adarsh nagar,2 bhk,bhncyis,1270.0,2.0,1.0,50.0,2.0,3937.0078740157483
super built-up  area,18-mar,bhoganhalli,3 bhk,rosha i,1670.0,3.0,1.0,99.0,3.0,5928.143712574851
built-up  area,ready to move,whitefield,3 bhk,suent v,2010.0,3.0,2.0,91.0,3.0,4527.363184079602
super built-up  area,ready to move,lakshminarayana pura,2 bhk,rothava,1185.0,2.0,2.0,75.0,2.0,6329.113924050633
super built-up  area,ready to move,yelahanka,3 bhk,ncowsar,1600.0,2.0,3.0,75.0,3.0,4687.5
super built-up  area,ready to move,begur road,2 bhk,dhalsh,1200.0,2.0,2.0,44.0,2.0,3666.6666666666665
built-up  area,20-feb,devanahalli,4 bedroom,brereat,3210.0,2.0,2.0,192.0,4.0,5981.308411214954
super built-up  area,ready to move,ramakrishnappa layout,2 bhk,pebayle,1500.0,2.0,2.0,185.0,2.0,12333.333333333334
super built-up  area,ready to move,govindaraja nagar ward,2 bhk,no society,840.0,2.0,2.0,45.0,2.0,5357.142857142857
plot  area,ready to move,tharabanahalli,3 bedroom,no society,4395.0,3.0,2.0,240.0,3.0,5460.750853242321
super built-up  area,ready to move,ganga nagar,2 bhk,laavevi,845.0,2.0,1.0,55.0,2.0,6508.87573964497
plot  area,ready to move,whitefield,4 bedroom,chranya,5700.0,5.0,3.0,650.0,4.0,11403.508771929824
built-up  area,ready to move,varthur,2 bhk,hioratr,1160.0,2.0,2.0,44.0,2.0,3793.103448275862
built-up  area,ready to move,bommanahalli,8 bedroom,no society,3000.0,8.0,0.0,140.0,8.0,4666.666666666667
super built-up  area,ready to move,doddathoguru,2 bhk,no society,1100.0,2.0,1.0,62.0,2.0,5636.363636363636
super built-up  area,18-apr,gunjur,2 bhk,bmineis,1140.0,2.0,3.0,43.0,2.0,3771.9298245614036
super built-up  area,ready to move,marathahalli,2 bhk,no society,1220.0,2.0,1.0,57.0,2.0,4672.131147540984
super built-up  area,ready to move,kanakpura road,2 bhk,no society,1005.0,2.0,1.0,36.68,2.0,3649.7512437810947
super built-up  area,20-aug,begur road,2 bhk,pruthg,1358.0,2.0,1.0,80.58,2.0,5933.726067746687
super built-up  area,ready to move,hegde nagar,3 bhk,sonosty,1569.0,3.0,1.0,101.0,3.0,6437.221159974506
super built-up  area,18-apr,haralur road,2 bhk,snnia e,1240.0,2.0,1.0,70.0,2.0,5645.1612903225805
super built-up  area,ready to move,hennur road,3 bhk,anavi b,2089.0,3.0,2.0,140.0,3.0,6701.771182383915
super built-up  area,ready to move,kothannur,2 bhk,no society,1206.0,2.0,1.0,48.23,2.0,3999.1708126036483
super built-up  area,ready to move,kalena agrahara,2 bhk,no society,1150.0,2.0,3.0,40.0,2.0,3478.2608695652175
built-up  area,ready to move,cholanayakanahalli,3 bhk,viony h,2511.0,3.0,3.0,205.0,3.0,8164.078056551175
built-up  area,ready to move,isro layout,6 bedroom,no society,4400.0,6.0,3.0,250.0,6.0,5681.818181818182
super built-up  area,ready to move,kodanda reddy layout,3 bhk,adentel,1660.0,2.0,2.0,105.0,3.0,6325.301204819277
built-up  area,18-oct,hennur road,4 bedroom,gollela,3203.5,2.0,2.0,224.5,4.0,7007.960043702201
super built-up  area,19-mar,yelahanka,2 bhk,niareum,1326.0,2.0,2.0,78.0,2.0,5882.35294117647
super built-up  area,ready to move,garudachar palya,3 bhk,no society,1325.0,2.0,2.0,60.8,3.0,4588.679245283019
super built-up  area,ready to move,epip zone,3 bhk,sjlynro,1499.0,5.0,2.0,102.0,3.0,6804.536357571715
built-up  area,ready to move,hegde nagar,6 bedroom,no society,3000.0,7.0,2.0,210.0,6.0,7000.0
super built-up  area,ready to move,kanakpura road,3 bhk,no society,1665.0,3.0,2.0,88.0,3.0,5285.285285285286
super built-up  area,17-sep,dasanapura,2 bhk,tavenew,708.0,2.0,2.0,37.0,2.0,5225.988700564972
super built-up  area,ready to move,kasavanhalli,2 bhk,srire s,1060.0,2.0,2.0,58.06,2.0,5477.358490566037
built-up  area,ready to move,sanjay nagar,2 bhk,saenti,1000.0,2.0,2.0,70.0,2.0,7000.0
super built-up  area,18-dec,electronic city,2 bhk,no society,1000.0,2.0,1.0,28.88,2.0,2888.0
super built-up  area,ready to move,mysore highway,3 bhk,no society,1450.0,2.0,2.0,70.0,3.0,4827.586206896552
plot  area,ready to move,isro layout,4 bedroom,no society,1200.0,4.0,2.0,155.0,4.0,12916.666666666666
super built-up  area,17-aug,thanisandra,2 bhk,bhmesy,1296.0,2.0,3.0,80.0,2.0,6172.83950617284
super built-up  area,ready to move,domlur,3 bhk,no society,1540.0,3.0,2.0,90.0,3.0,5844.1558441558445
plot  area,ready to move,kengeri,4 bedroom,goardth,2894.0,4.0,1.0,245.0,4.0,8465.791292328957
super built-up  area,ready to move,sarjapura - attibele road,3 bhk,no society,1330.0,2.0,1.0,48.0,3.0,3609.0225563909776
built-up  area,ready to move,devasthanagalu,2 bhk,no society,1200.0,2.0,1.0,65.0,2.0,5416.666666666667
built-up  area,ready to move,t dasarahalli,3 bedroom,no society,1200.0,3.0,1.0,90.0,3.0,7500.0
super built-up  area,ready to move,yeshwanthpur,3 bhk,ibityin,2502.0,3.0,3.0,138.0,3.0,5515.587529976019
built-up  area,ready to move,chandapura,2 bhk,khityry,650.0,1.0,1.0,17.0,2.0,2615.3846153846152
plot  area,ready to move,kothanur,3 bedroom,bdensar,2400.0,2.0,1.0,150.0,3.0,6250.0
super built-up  area,ready to move,green view layout,2 bhk,makeser,1007.0,2.0,2.0,43.0,2.0,4270.109235352532
super built-up  area,ready to move,shantiniketan layout,2 bhk,maest n,1200.0,2.0,2.0,50.0,2.0,4166.666666666667
super built-up  area,ready to move,peenya,2 bhk,no society,966.0,2.0,2.0,49.9,2.0,5165.631469979296
built-up  area,ready to move,nagarbhavi,3 bhk,no society,1630.0,2.0,1.0,98.0,3.0,6012.269938650306
built-up  area,ready to move,rajaji nagar,3 bhk,brway g,1640.0,3.0,2.0,229.0,3.0,13963.414634146342
built-up  area,ready to move,jalahalli west,2 bhk,no society,782.0,2.0,2.0,55.68,2.0,7120.204603580562
super built-up  area,19-apr,devanahalli,2 bhk,oznuean,1260.0,2.0,2.0,66.78,2.0,5300.0
super built-up  area,ready to move,lakshmiamma garden,3 bhk,no society,1800.0,3.0,3.0,120.0,3.0,6666.666666666667
super built-up  area,ready to move,byatarayanapura,3 bhk,reeroce,1413.0,2.0,2.0,75.0,3.0,5307.855626326964
super built-up  area,ready to move,whitefield,2 bhk,sonviik,1116.0,2.0,1.0,51.91,2.0,4651.433691756272
super built-up  area,ready to move,electronic city,3 bhk,dsgmax,1530.0,2.0,1.0,45.9,3.0,3000.0
built-up  area,ready to move,ramamurthy nagar,4 bedroom,no society,3700.0,4.0,1.0,225.0,4.0,6081.081081081081
built-up  area,ready to move,sarjapur  road,3 bedroom,cetattu,2497.0,3.0,2.0,140.0,3.0,5606.728073688426
super built-up  area,ready to move,kengeri,3 bhk,vaens g,1540.0,2.0,3.0,64.0,3.0,4155.8441558441555
super built-up  area,18-dec,thanisandra,3 bhk,no society,1436.0,3.0,1.0,74.75,3.0,5205.431754874652
super built-up  area,18-jun,malleshwaram,2 bhk,no society,1100.0,2.0,2.0,75.0,2.0,6818.181818181818
super built-up  area,ready to move,thanisandra,3 bhk,moity s,1427.0,3.0,2.0,120.0,3.0,8409.250175192712
super built-up  area,ready to move,akshaya nagar,3 bhk,hiahsla,2061.0,3.0,1.0,200.0,3.0,9704.02717127608
super built-up  area,18-mar,hebbal,4 bhk,snontle,5611.5,4.0,0.0,477.0,4.0,8500.400962309543
built-up  area,ready to move,shampura,4 bhk,no society,2650.0,4.0,2.0,150.0,4.0,5660.377358490566
super built-up  area,22-dec,devanahalli,3 bhk,sabixtt,1282.0,2.0,2.0,68.52,3.0,5344.773790951638
built-up  area,ready to move,kadugodi,2 bhk,no society,1050.0,2.0,1.0,34.0,2.0,3238.095238095238
built-up  area,ready to move,lb shastri nagar,3 bhk,sragei,1600.0,3.0,2.0,65.0,3.0,4062.5
super built-up  area,22-jan,vajarahalli,2 bhk,no society,945.0,2.0,1.0,54.0,2.0,5714.285714285715
super built-up  area,ready to move,hormavu,2 bhk,syidacr,1500.0,2.0,1.0,78.0,2.0,5200.0
built-up  area,ready to move,peenya,3 bhk,jahts h,1870.0,3.0,3.0,110.0,3.0,5882.35294117647
plot  area,ready to move,sarjapur,3 bedroom,inensba,1600.0,3.0,1.0,75.0,3.0,4687.5
super built-up  area,ready to move,electronic city,2 bhk,itelaa,880.0,1.0,1.0,16.5,2.0,1875.0
plot  area,ready to move,ramaswamy palya - kammanahalli main road,4 bedroom,no society,1200.0,4.0,0.0,210.0,4.0,17500.0
super built-up  area,ready to move,kudlu gate,3 bhk,srier p,1535.0,3.0,2.0,83.0,3.0,5407.166123778502
built-up  area,ready to move,kanakpura road,2 bhk,wiowsri,950.0,2.0,1.0,57.0,2.0,6000.0
super built-up  area,18-aug,devanahalli,2 bhk,derdsig,1360.0,2.0,1.0,65.0,2.0,4779.411764705882
super built-up  area,19-mar,8th phase jp nagar,2 bhk,vaarech,1073.5,2.0,0.0,54.005,2.0,5030.740568234746
super built-up  area,18-may,bommasandra industrial area,3 bhk,no society,1280.0,3.0,1.0,50.4,3.0,3937.5
super built-up  area,19-jan,chandra layout,3 bhk,tiaksaa,1260.0,2.0,2.0,85.05,3.0,6750.0
built-up  area,ready to move,hennur road,8 bedroom,no society,5000.0,8.0,2.0,250.0,8.0,5000.0
super built-up  area,19-dec,yelahanka,5 bhk,ledorsa,3050.0,5.0,1.0,213.0,5.0,6983.606557377049
super built-up  area,ready to move,kasavanhalli,3 bhk,hmwerco,1563.05,3.0,1.0,105.0,3.0,6717.635392341896
super built-up  area,ready to move,isro layout,2 bhk,no society,1000.0,2.0,1.0,60.0,2.0,6000.0
super built-up  area,17-jul,anandapura,2 bhk,viensrk,1167.0,2.0,1.0,43.76,2.0,3749.7857754927163
super built-up  area,ready to move,vishveshwarya layout,7 bhk,no society,4000.0,7.0,2.0,225.0,7.0,5625.0
super built-up  area,ready to move,kothanur,3 bhk,somumys,1828.0,3.0,2.0,110.0,3.0,6017.505470459519
super built-up  area,ready to move,kengeri satellite town,2 bhk,hoiewla,890.0,2.0,1.0,35.0,2.0,3932.5842696629215
super built-up  area,ready to move,basavanapura,3 bhk,dwity t,1612.0,3.0,3.0,46.74,3.0,2899.5037220843674
super built-up  area,19-apr,mysore road,3 bhk,brama p,1710.0,4.0,2.0,91.31,3.0,5339.766081871345
super built-up  area,ready to move,kannamangala,2 bhk,vbownre,957.0,2.0,1.0,58.0,2.0,6060.606060606061
super built-up  area,18-may,devarachikkanahalli,3 bhk,no society,1250.0,2.0,3.0,44.0,3.0,3520.0
super built-up  area,ready to move,sanjeevini nagar,3 bhk,betatsi,2795.0,4.0,2.0,235.0,3.0,8407.871198568873
super built-up  area,ready to move,hulimavu,2 bhk,prcan p,1125.0,2.0,2.0,50.0,2.0,4444.444444444444
super built-up  area,18-jul,electronic city phase ii,2 bhk,sryalan,1020.0,2.0,1.0,30.6,2.0,3000.0
super built-up  area,ready to move,kalena agrahara,2 bhk,no society,1200.0,2.0,2.0,50.0,2.0,4166.666666666667
super built-up  area,ready to move,thanisandra,3 bhk,soitya,1735.0,3.0,3.0,135.0,3.0,7780.979827089337
super built-up  area,ready to move,thanisandra,3 bhk,g conth,2050.0,3.0,1.0,145.0,3.0,7073.170731707317
plot  area,ready to move,mahalakshmi layout,4 bedroom,no society,3750.0,4.0,0.0,760.0,4.0,20266.666666666668
built-up  area,ready to move,yarandahalli,3 bhk,no society,1350.0,2.0,3.0,48.0,3.0,3555.5555555555557
super built-up  area,18-may,hosa road,2 bhk,sstusan,1063.0,2.0,1.0,32.0,2.0,3010.348071495767
super built-up  area,ready to move,keshava nagar,3 bhk,etens g,1904.0,3.0,1.0,150.0,3.0,7878.151260504202
built-up  area,ready to move,whitefield,4 bedroom,no society,4200.0,4.0,2.0,420.0,4.0,10000.0
super built-up  area,ready to move,rmv extension,3 bhk,hohnari,2000.0,3.0,1.0,175.0,3.0,8750.0
super built-up  area,18-dec,sarjapur,2 bhk,kinuerg,1242.5,2.0,0.0,43.49,2.0,3500.201207243461
super built-up  area,ready to move,tejaswini nagar,3 bhk,naods w,1425.0,2.0,2.0,75.0,3.0,5263.1578947368425
super built-up  area,ready to move,electronic city,3 bhk,gmown e,1500.0,2.0,1.0,64.5,3.0,4300.0
built-up  area,ready to move,electronic city,2 bhk,gmown e,1060.0,2.0,1.0,60.0,2.0,5660.377358490566
built-up  area,ready to move,jai bheema nagar,3 bhk,sancyra,1470.0,2.0,2.0,70.0,3.0,4761.9047619047615
super built-up  area,ready to move,attibele,1 bhk,jae 1hu,450.0,1.0,1.0,11.0,1.0,2444.4444444444443
super built-up  area,18-apr,electronic city,2 bhk,prarkun,1152.0,2.0,1.0,64.5,2.0,5598.958333333333
super built-up  area,ready to move,electronic city,3 bhk,gmown e,1350.0,2.0,1.0,56.0,3.0,4148.148148148148
super built-up  area,ready to move,cv raman nagar,3 bhk,srshq t,1550.0,3.0,3.0,65.0,3.0,4193.548387096775
plot  area,ready to move,chikkatirupathi,3 bedroom,no society,1500.0,3.0,2.0,100.0,3.0,6666.666666666667
plot  area,ready to move,nagavara,1 bedroom,no society,400.0,1.0,0.0,14.0,1.0,3500.0
super built-up  area,ready to move,malleshwaram,1 bhk,utntspa,705.0,1.0,2.0,67.0,1.0,9503.54609929078
built-up  area,ready to move,electronic city,2 bhk,gmown e,770.0,1.0,1.0,36.0,2.0,4675.324675324675
super built-up  area,ready to move,hulimavu,2 bhk,aniona,1242.0,2.0,3.0,51.0,2.0,4106.280193236715
super built-up  area,ready to move,hebbal kempapura,3 bhk,goateds,1700.0,3.0,2.0,155.0,3.0,9117.64705882353
super built-up  area,ready to move,thanisandra,3 bhk,soitya,2144.0,3.0,2.0,145.0,3.0,6763.059701492537
super built-up  area,21-jun,vijayanagar,3 bhk,saahaat,1704.0,3.0,2.0,110.0,3.0,6455.399061032864
super built-up  area,ready to move,electronic city,2 bhk,gmown e,1070.0,2.0,1.0,52.0,2.0,4859.813084112149
plot  area,ready to move,8th block koramangala,3 bedroom,no society,1846.0,3.0,2.0,300.0,3.0,16251.354279523293
super built-up  area,ready to move,jakkuru layout,2 bhk,no society,1340.0,2.0,2.0,55.7,2.0,4156.7164179104475
built-up  area,ready to move,electronic city,2 bhk,gmown e,1025.0,2.0,1.0,46.0,2.0,4487.804878048781
super built-up  area,ready to move,kr puram,2 bhk,mcvarar,1277.5,2.0,0.0,56.8,2.0,4446.183953033268
super built-up  area,ready to move,marathahalli,2 bhk,vrave e,1200.0,2.0,2.0,52.0,2.0,4333.333333333333
built-up  area,18-dec,kanakpura road,4 bedroom,no society,2250.0,4.0,1.0,110.0,4.0,4888.888888888889
super built-up  area,ready to move,pattandur agrahara,3 bhk,maidopl,1550.0,2.0,3.0,80.0,3.0,5161.290322580645
super built-up  area,ready to move,marathahalli,2 bhk,aiitya,1200.0,2.0,2.0,60.0,2.0,5000.0
super built-up  area,ready to move,yelahanka,2 bhk,puziave,1327.0,2.0,2.0,98.0,2.0,7385.079125847777
super built-up  area,ready to move,kothanur,2 bhk,no society,1186.0,2.0,2.0,58.0,2.0,4890.387858347386
built-up  area,ready to move,ms pallya,3 bedroom,no society,1783.0,3.0,1.0,115.0,3.0,6449.8037016264725
super built-up  area,ready to move,hsr layout,3 bhk,nrosete,1400.0,3.0,2.0,56.0,3.0,4000.0
super built-up  area,ready to move,nagasandra,2 bhk,no society,980.0,2.0,1.0,48.0,2.0,4897.959183673469
super built-up  area,ready to move,epip zone,2 bhk,no society,1285.0,2.0,2.0,82.0,2.0,6381.322957198444
super built-up  area,ready to move,langford town,3 bhk,no society,912.0,2.0,1.0,70.0,3.0,7675.438596491228
built-up  area,ready to move,whitefield,2 bhk,sancya,1225.0,2.0,2.0,47.6,2.0,3885.714285714286
super built-up  area,ready to move,whitefield,2 bhk,no society,1075.0,2.0,1.0,53.0,2.0,4930.232558139535
built-up  area,ready to move,kadugodi,3 bhk,msingco,1260.0,2.0,2.0,54.0,3.0,4285.714285714285
super built-up  area,ready to move,yelahanka,3 bhk,pyikad,1282.0,2.0,2.0,48.7,3.0,3798.751950078003
super built-up  area,ready to move,kogilu,3 bhk,cairscr,1909.0,3.0,2.0,88.0,3.0,4609.743321110529
super built-up  area,ready to move,panathur,2 bhk,prcesvy,1359.0,2.0,1.0,87.0,2.0,6401.766004415011
built-up  area,ready to move,nagondanahalli,2 bhk,no society,1207.0,2.0,2.0,43.5,2.0,3603.976801988401
plot  area,ready to move,padmanabhanagar,4 bedroom,no society,1736.0,6.0,0.0,190.0,4.0,10944.700460829494
super built-up  area,20-may,1st block jayanagar,4 bhk,no society,2850.0,4.0,1.0,428.0,4.0,15017.543859649122
super built-up  area,ready to move,kammasandra,3 bhk,emstael,1595.0,3.0,2.0,65.0,3.0,4075.2351097178685
built-up  area,18-jun,"off sarjapur road,",3 bhk,no society,1798.0,3.0,2.0,89.0,3.0,4949.944382647386
super built-up  area,ready to move,electronics city phase 1,3 bhk,sndri n,1475.0,3.0,2.0,78.29,3.0,5307.796610169492
super built-up  area,ready to move,tala cauvery layout,3 bhk,hodhisa,1580.0,3.0,3.0,100.0,3.0,6329.113924050633
super built-up  area,ready to move,dasarahalli,2 bhk,syonyph,1295.0,2.0,1.0,65.0,2.0,5019.305019305019
built-up  area,ready to move,magadi road,6 bedroom,no society,3600.0,6.0,0.0,141.0,6.0,3916.6666666666665
super built-up  area,ready to move,electronic city,1 bhk,itvir m,589.0,1.0,1.0,27.0,1.0,4584.040747028863
super built-up  area,ready to move,ngef layout,3 bhk,no society,1415.0,3.0,3.0,78.0,3.0,5512.367491166077
super built-up  area,18-dec,sarjapur  road,3 bhk,klark l,1787.0,3.0,2.0,98.29,3.0,5500.279798545048
super built-up  area,ready to move,sarjapur  road,3 bhk,klark l,1787.0,3.0,2.0,125.0,3.0,6994.963626189144
super built-up  area,ready to move,koramangala,3 bhk,piityra,1475.0,2.0,3.0,90.0,3.0,6101.6949152542375
built-up  area,ready to move,"lakshminarayanapura, electronic city phase 2",4 bhk,no society,2000.0,4.0,1.0,75.5,4.0,3775.0
super built-up  area,19-mar,sarjapur  road,2 bhk,asastde,984.0,2.0,1.0,44.28,2.0,4500.0
super built-up  area,19-dec,devanahalli,3 bhk,jurdsig,1630.0,2.0,2.0,74.82,3.0,4590.184049079754
super built-up  area,ready to move,muthurayya swamy layout,3 bhk,maclek,2405.0,4.0,2.0,260.0,3.0,10810.81081081081
built-up  area,ready to move,7th phase jp nagar,2 bhk,brnia g,1080.0,2.0,2.0,72.0,2.0,6666.666666666667
plot  area,ready to move,shantiniketan layout,2 bedroom,no society,1500.0,2.0,1.0,115.0,2.0,7666.666666666667
super built-up  area,ready to move,hebbal,3 bhk,no society,1900.0,3.0,2.0,119.0,3.0,6263.1578947368425
super built-up  area,19-aug,dommasandra,2 bhk,no society,805.0,2.0,1.0,22.14,2.0,2750.3105590062114
super built-up  area,ready to move,budigere,2 bhk,pritytr,1153.0,2.0,2.0,56.4,2.0,4891.587163920208
super built-up  area,ready to move,dodda nekkundi extension,2 bhk,alecone,1148.0,2.0,2.0,60.0,2.0,5226.480836236934
super built-up  area,ready to move,mylasandra,2 bhk,laowsba,1110.0,2.0,2.0,55.0,2.0,4954.954954954955
built-up  area,ready to move,electronic city,2 bhk,saave r,1100.0,2.0,2.0,42.0,2.0,3818.181818181818
super built-up  area,ready to move,kalyan nagar,2 bhk,anave s,1290.0,2.0,2.0,110.0,2.0,8527.131782945737
super built-up  area,ready to move,dr shivarama karantha nagar,3 bhk,no society,1500.0,2.0,1.0,65.0,3.0,4333.333333333333
super built-up  area,18-apr,bank of baroda colony,2 bhk,no society,1080.0,2.0,2.0,39.0,2.0,3611.1111111111113
super built-up  area,21-jun,vijayanagar,3 bhk,saityat,1933.0,3.0,1.0,129.0,3.0,6673.564407656492
built-up  area,ready to move,ramamurthy nagar,5 bedroom,no society,3500.0,5.0,2.0,150.0,5.0,4285.714285714285
built-up  area,ready to move,kullappa colony,2 bhk,no society,1060.0,2.0,2.0,60.0,2.0,5660.377358490566
super built-up  area,18-aug,chandapura,1 bhk,suncees,645.0,1.0,1.0,16.45,1.0,2550.3875968992247
plot  area,ready to move,mukkutam nagar,8 bedroom,no society,2600.0,8.0,2.0,180.0,8.0,6923.076923076923
super built-up  area,18-sep,chandapura,1 bhk,suncees,645.0,1.0,1.0,16.45,1.0,2550.3875968992247
super built-up  area,ready to move,ashwath nagar,3 bhk,sjcerpe,1644.0,3.0,3.0,84.0,3.0,5109.489051094891
super built-up  area,ready to move,ncpr industrial layout,2 bhk,supams,1285.0,2.0,3.0,72.5,2.0,5642.023346303502
plot  area,ready to move,electronic city,3 bedroom,no society,1200.0,3.0,1.0,90.0,3.0,7500.0
super built-up  area,ready to move,electronic city,2 bhk,coapeso,910.0,2.0,1.0,40.0,2.0,4395.604395604396
super built-up  area,ready to move,kothanur,3 bhk,bisic c,1577.0,3.0,1.0,70.0,3.0,4438.807863031072
plot  area,17-may,meenakunte,3 bedroom,sreat r,4050.0,3.0,2.0,280.0,3.0,6913.580246913581
super built-up  area,ready to move,ombr layout,3 bhk,inntsa,2420.0,3.0,2.0,185.0,3.0,7644.628099173554
super built-up  area,ready to move,chandapura,2 bhk,khityry,800.0,1.0,1.0,20.0,2.0,2500.0
built-up  area,ready to move,anand nagar,2 bhk,no society,1060.0,2.0,2.0,55.0,2.0,5188.679245283019
super built-up  area,ready to move,7th phase jp nagar,2 bhk,briummi,1270.0,2.0,2.0,93.0,2.0,7322.834645669292
super built-up  area,18-jun,shree ananth nagar layout,2 bhk,no society,900.0,2.0,2.0,22.5,2.0,2500.0
built-up  area,ready to move,kundalahalli colony,2 bedroom,no society,1280.0,2.0,1.0,69.0,2.0,5390.625
plot  area,ready to move,horamavu agara,4 bedroom,no society,1200.0,2.0,0.0,95.0,4.0,7916.666666666667
